,Nation,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2011,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
92,Belarus,39.0,41.0,47.0,45.0,44.0,44.0,40.0,32.0,31.0,29.0,31.0,25.0,24.0,24.0,20.0,21.0,21.0,26.0,33.0,42.0,48.0,41.0,41.0,34.0,39.0,39.0,39.0,39.0
93,Colombia,39.0,39.0,39.0,37.0,36.0,37.0,37.0,37.0,37.0,36.0,36.0,35.0,34.0,37.0,38.0,38.0,39.0,40.0,38.0,37.0,36.0,38.0,32.0,29.0,22.0,22.3,27.3,34.4
94,Morocco,38.0,39.0,40.0,41.0,43.0,40.0,37.0,36.0,39.0,37.0,37.0,34.0,34.0,33.0,35.0,35.0,32.0,32.0,32.0,33.0,37.0,47.0,47.0,41.0,37.0,37.0,37.0,37.0
95,Ethiopia,38.0,39.0,38.0,37.0,34.0,35.0,34.0,33.0,33.0,33.0,33.0,27.0,27.0,27.0,26.0,24.0,24.0,22.0,23.0,25.0,35.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
96,Argentina,38.0,38.0,42.0,45.0,40.0,39.0,36.0,32.0,34.0,34.0,35.0,29.0,30.0,29.0,29.0,29.0,29.0,28.0,25.0,25.0,28.0,35.0,35.0,30.0,30.0,28.1,34.1,52.400000000000006
97,Tanzania,38.0,39.0,38.0,37.0,36.0,36.0,32.0,30.0,31.0,33.0,35.0,27.0,30.0,26.0,30.0,32.0,29.0,29.0,28.0,25.0,27.0,22.0,25.0,19.0,19.0,19.0,19.0,19.0
98,Brazil,38.0,38.0,38.0,35.0,35.0,37.0,40.0,38.0,43.0,42.0,43.0,37.0,38.0,37.0,35.0,35.0,33.0,37.0,39.0,39.0,40.0,40.0,39.0,41.0,40.0,35.6,29.6,27.0
99,Lesotho,37.0,38.0,41.0,40.0,41.0,42.0,39.0,44.0,49.0,49.0,45.0,35.0,35.0,33.0,32.0,33.0,32.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
100,Ivory Coast,37.0,36.0,36.0,35.0,35.0,36.0,34.0,32.0,32.0,27.0,29.0,21.0,21.0,21.0,20.0,21.0,21.0,19.0,20.0,21.0,27.0,24.0,27.0,26.0,31.0,31.0,31.0,31.0
101,Thailand,36.0,35.0,36.0,36.0,36.0,37.0,35.0,38.0,38.0,35.0,37.0,35.0,34.0,34.0,35.0,33.0,36.0,38.0,36.0,33.0,32.0,32.0,32.0,32.0,30.0,30.6,33.3,27.9
102,Albania,36.0,35.0,36.0,35.0,36.0,38.0,39.0,36.0,33.0,31.0,33.0,33.0,31.0,32.0,34.0,29.0,26.0,24.0,25.0,25.0,25.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
103,Serbia,36.0,38.0,38.0,39.0,39.0,41.0,42.0,40.0,41.0,42.0,39.0,35.0,33.0,35.0,34.0,34.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
104,Turkey,36.0,38.0,40.0,39.0,41.0,40.0,41.0,42.0,45.0,50.0,49.0,44.0,42.0,44.0,46.0,41.0,38.0,35.0,32.0,31.0,32.0,36.0,38.0,36.0,34.0,32.1,35.4,41.0
105,Panama,36.0,36.0,35.0,36.0,37.0,37.0,38.0,39.0,37.0,35.0,38.0,36.0,33.0,34.0,34.0,32.0,31.0,35.0,37.0,34.0,30.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
106,Sri Lanka,36.0,37.0,38.0,38.0,38.0,38.0,36.0,37.0,38.0,37.0,40.0,32.0,33.0,31.0,32.0,32.0,31.0,32.0,35.0,34.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
107,Kazakhstan,36.0,37.0,38.0,34.0,31.0,31.0,29.0,28.0,29.0,26.0,28.0,29.0,27.0,27.0,22.0,21.0,26.0,26.0,22.0,24.0,23.0,27.0,30.0,23.0,23.0,23.0,23.0,23.0
108,Ecuador,36.0,36.0,39.0,38.0,34.0,32.0,31.0,32.0,33.0,35.0,32.0,25.0,27.0,22.0,20.0,21.0,23.0,25.0,24.0,22.0,22.0,23.0,26.0,24.0,23.0,31.9,31.9,31.9
109,Peru,36.0,36.0,38.0,36.0,35.0,37.0,35.0,36.0,38.0,38.0,38.0,35.0,34.0,37.0,36.0,35.0,33.0,35.0,35.0,37.0,40.0,41.0,44.0,45.0,45.0,45.0,45.0,45.0
110,Sierra Leone,34.0,34.0,33.0,33.0,30.0,30.0,30.0,29.0,31.0,30.0,31.0,24.0,25.0,22.0,19.0,21.0,22.0,24.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
111,Nepal,34.0,33.0,33.0,34.0,31.0,31.0,29.0,27.0,29.0,31.0,27.0,22.0,22.0,23.0,27.0,25.0,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
112,Malawi,34.0,35.0,30.0,31.0,32.0,31.0,31.0,31.0,33.0,37.0,37.0,34.0,30.0,33.0,28.0,27.0,27.0,28.0,28.0,28.0,29.0,32.0,41.0,41.0,41.0,41.0,41.0,41.0
